,DATE,NAME,PROD_PRESS,ACT_LIQ_VOL,ACT_OIL_VOL,ACT_WATER_VOL
0,2015-12-02,P1,1108.794067,0.0,0.0,0.0
1,2015-12-03,P1,1056.035767,1249.999968,1249.998291,0.001676978
2,2015-12-03,P1,1047.642822,1250.000001,1249.998047,0.001953947
3,2015-12-06,P1,1034.812622,1250.000049,1249.997681,0.002368664
4,2015-12-08,P1,1025.276001,1249.999986,1249.997314,0.002671397
5,2015-12-10,P1,1015.209656,1250.000057,1249.99707,0.002986422
6,2015-12-13,P1,1001.211792,1249.999999,1249.996582,0.003417211
7,2015-12-18,P1,980.2901001,1250.000018,1249.995972,0.004045848
8,2015-12-24,P1,954.2958374,1250.000042,1249.995239,0.004802453
9,2016-01-01,P1,922.0560913,1249.999968,1249.994263,0.005705117
10,2016-01-02,P1,930.0,1194.339473,1194.334229,0.00524454
11,2016-01-03,P1,930.0,1310.239749,1310.234009,0.005740378
12,2016-01-06,P1,930.0,1320.632734,1320.626953,0.005781161
13,2016-01-10,P1,930.0,1321.795699,1321.789917,0.005781515
14,2016-01-15,P1,930.0,1323.288497,1323.282715,0.005782014
15,2016-01-21,P1,930.0,1324.882491,1324.876709,0.005782138
16,2016-01-27,P1,930.0,1326.051435,1326.045654,0.005781115
17,2016-02-02,P1,930.0,1326.879924,1326.874146,0.00577875
18,2016-02-09,P1,930.0,2465.437897,2465.427002,0.010895006
19,2016-02-14,P1,930.0,2475.917676,2475.906006,0.011670235
20,2016-02-17,P1,930.0,2457.385302,2457.370361,0.014940321
21,2016-02-21,P1,930.0,2432.382314,2432.329834,0.052479886
22,2016-02-25,P1,930.0,2403.331251,2402.889893,0.44135794
23,2016-02-28,P1,930.0,2382.48853,2381.115967,1.372562766
24,2016-03-02,P1,930.0,2359.637371,2353.571533,6.065837383
25,2016-03-06,P1,930.0,2614.028259,2511.109863,102.918396
26,2016-03-09,P1,930.0,2593.591644,2191.056641,402.5350037
27,2016-03-13,P1,930.0,2588.443176,1738.852539,849.5906372
28,2016-03-17,P1,930.0,2598.269043,1393.033691,1205.235352
29,2016-03-22,P1,930.0,2610.813843,1216.669189,1394.144653
30,2016-03-27,P1,930.0,2621.600342,1146.450806,1475.149536
31,2016-04-02,P1,930.0,2630.096558,1122.987305,1507.109253
32,2016-04-12,P1,930.0,1183.076752,733.2471313,449.8296204
33,2016-04-21,P1,930.0,1135.382446,787.3920898,347.9903564
34,2016-05-02,P1,930.0,1138.367279,835.574585,302.7926941
35,2016-05-16,P1,930.0,1678.123016,1168.257813,509.8652039
36,2016-05-24,P1,930.0,1694.417297,1153.639893,540.7774048
37,2016-06-02,P1,930.0,1700.359985,1138.119995,562.2399902
38,2016-06-17,P1,930.0,1610.361267,1012.730957,597.6303101
39,2016-07-02,P1,930.0,1613.22522,986.2661743,626.9590454
40,2016-07-17,P1,930.0,1971.645447,1086.16626,885.479187
41,2016-08-02,P1,930.0,1989.345581,1058.386353,930.9592285
42,2016-08-17,P1,930.0,1956.053589,1033.249146,922.8044434
43,2016-09-02,P1,930.0,1957.991028,1027.437256,930.553772
44,2016-10-02,P1,930.0,1607.154358,1006.285217,600.8691406
45,2016-11-02,P1,930.0,1845.603394,1130.014404,715.5889893
46,2016-12-02,P1,930.0,1822.218689,1176.669434,645.5492554
47,2017-01-02,P1,930.0,1902.207581,1172.270508,729.9370728
48,2017-02-02,P1,930.0,1828.835938,1178.571655,650.2642822
49,2017-03-02,P1,930.0,1835.49707,1132.387207,703.1098633
50,2017-04-02,P1,930.0,1881.750671,1140.046997,741.7036743
51,2017-05-02,P1,930.0,2394.03479,1383.739014,1010.295776
52,2017-06-02,P1,930.0,2139.209045,1279.289185,859.9198608
53,2017-07-02,P1,930.0,1817.689331,1199.480347,618.2089844
54,2017-08-02,P1,930.0,1521.19342,1089.363037,431.8303833
55,2017-09-02,P1,930.0,1944.849609,1209.802246,735.0473633
56,2017-09-17,P1,930.0,1896.925781,1116.118896,780.8068848
57,2017-10-02,P1,930.0,1889.330688,1082.597412,806.7332764
58,2017-11-02,P1,930.0,1937.740662,1106.50061,831.2400513
59,2017-12-02,P1,930.0,2032.382385,1109.003418,923.3789673
60,2018-01-02,P1,930.0,1477.265442,868.4727783,608.7926636
61,2018-02-02,P1,930.0,1772.803711,920.4370117,852.3666992
62,2018-03-02,P1,930.0,1765.528748,809.9827881,955.5459595
63,2018-04-02,P1,930.0,1835.129089,820.2475586,1014.881531
64,2018-05-02,P1,930.0,1899.978455,811.3589478,1088.619507
65,2018-06-02,P1,930.0,1995.072693,822.4741821,1172.598511
66,2018-07-02,P1,930.0,1690.155396,718.2015991,971.9537964
67,2018-08-02,P1,930.0,2015.640625,752.7154541,1262.925171
68,2018-09-02,P1,930.0,1864.969788,669.5598755,1195.409912
69,2018-10-02,P1,930.0,2078.331177,671.4813232,1406.849854
70,2018-11-02,P1,930.0,1808.263794,586.4643555,1221.799438
71,2018-12-02,P1,930.0,2169.122253,620.2682495,1548.854004
72,2019-01-02,P1,930.0,2291.382202,602.8778076,1688.504395
73,2019-02-02,P1,930.0,2353.717041,582.5821533,1771.134888
74,2019-03-02,P1,930.0,2687.99823,635.3356323,2052.662598
75,2019-04-02,P1,930.0,2593.869812,592.6565552,2001.213257
76,2019-05-02,P1,930.0,2553.943298,559.5411987,1994.4021
77,2019-06-02,P1,930.0,2702.526672,548.5484009,2153.978271
78,2019-07-02,P1,930.0,2647.612488,513.6566772,2133.955811
79,2019-08-02,P1,930.0,2762.391418,479.9302368,2282.461182
80,2019-09-02,P1,930.0,2813.869659,473.2121887,2340.657471
81,2019-10-02,P1,930.0,2851.325531,463.730072,2387.595459
82,2019-11-02,P1,930.0,2712.703217,412.0171814,2300.686035
83,2019-12-02,P1,930.0,2792.104462,396.2997742,2395.804688
84,2020-01-02,P1,930.0,2642.323181,351.8969116,2290.42627
85,2020-02-02,P1,930.0,2515.564056,337.276947,2178.287109
86,2020-03-02,P1,930.0,2922.737152,363.9527283,2558.784424
87,2020-04-02,P1,930.0,2993.533325,354.7064209,2638.826904
88,2020-05-02,P1,930.0,3154.397827,353.9654541,2800.432373
89,2020-06-02,P1,930.0,1400.181335,216.2131958,1183.96814
90,2020-07-02,P1,930.0,2148.443909,278.4030151,1870.040894
91,2020-08-02,P1,930.0,2110.3965,250.1435699,1860.25293
92,2020-09-02,P1,930.0,1450.815063,226.6538086,1224.161255
93,2020-09-17,P1,930.0,1740.520905,230.8126526,1509.708252
94,2020-10-02,P1,930.0,1736.420227,207.7959595,1528.624268
95,2020-10-17,P1,930.0,2277.463898,250.7425842,2026.721313
96,2020-11-02,P1,930.0,2319.127823,246.6397858,2072.488037
97,2020-12-02,P1,930.0,2712.74173,289.035675,2423.706055
98,2021-01-02,P1,930.0,2671.312378,265.5716553,2405.740723
99,2021-02-02,P1,930.0,2157.534698,192.3683167,1965.166382
100,2021-03-02,P1,930.0,2104.478836,182.6913605,1921.787476
101,2021-04-02,P1,930.0,2373.446899,188.9788818,2184.468018
102,2021-05-02,P1,930.0,2320.678497,175.9004211,2144.778076
103,2021-06-02,P1,930.0,2120.451859,162.1530304,1958.298828
104,2021-07-02,P1,930.0,2116.088257,159.3868408,1956.701416
105,2021-08-02,P1,930.0,2303.225052,163.3686066,2139.856445
106,2021-09-02,P1,930.0,2444.59375,164.1298828,2280.463867
107,2021-10-02,P1,930.0,2339.790176,148.0929108,2191.697266
108,2021-11-02,P1,930.0,2152.011047,135.2749634,2016.736084
109,2021-12-02,P1,930.0,2410.054489,137.6526337,2272.401855
110,2022-01-02,P1,930.0,2488.736893,134.4698029,2354.26709
111,2022-02-02,P1,930.0,2221.325562,115.1756592,2106.149902
112,2022-03-02,P1,930.0,1651.077446,92.24321747,1558.834229
113,2022-04-02,P1,930.0,1576.271385,89.18764496,1487.08374
114,2022-05-02,P1,930.0,2314.02919,104.5111237,2209.518066
115,2022-06-02,P1,930.0,2479.710678,100.6555023,2379.055176
116,2022-07-02,P1,930.0,2553.586609,101.1027222,2452.483887
117,2022-08-02,P1,930.0,2675.315384,104.7138214,2570.601563
118,2022-09-02,P1,930.0,2816.080383,103.0283813,2713.052002
119,2022-10-02,P1,930.0,2761.161957,98.14877319,2663.013184
120,2022-11-02,P1,930.0,2439.49247,87.24320221,2352.249268
121,2022-12-02,P1,930.0,2503.222847,84.40937042,2418.813477
122,2023-01-02,P1,930.0,2590.504272,83.27893066,2507.225342
123,2023-02-02,P1,930.0,2305.298882,74.02202606,2231.276855
124,2023-03-02,P1,930.0,2181.403114,71.13431549,2110.268799
125,2023-04-02,P1,930.0,2418.05394,74.97972107,2343.074219
126,2023-05-02,P1,930.0,2422.230637,70.57194519,2351.658691
127,2023-06-02,P1,930.0,2528.290276,72.24388885,2456.046387
128,2023-07-02,P1,930.0,2532.757652,70.6543808,2462.103271
129,2023-08-02,P1,930.0,2513.056351,67.52168274,2445.534668
130,2023-09-02,P1,930.0,2321.380386,60.93312073,2260.447266
131,2023-10-02,P1,930.0,2818.628059,64.56189728,2754.066162
132,2023-11-02,P1,930.0,2823.457634,63.83605194,2759.621582
133,2023-12-02,P1,930.0,3148.464256,66.89540863,3081.568848
134,2024-01-02,P1,930.0,3341.576416,66.34521484,3275.231201
